section,subsection,shapefile,heading,lookup_value,intensity,image,text,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,8,,,In 1910 2866 acres burned in this location. That is equal to about 2605 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,9,,,In 1910 1240 acres burned in this location. That is equal to about 1127 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,10,,,In 1910 988 acres burned in this location. That is equal to about 898. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,11,,,In 1910 389 acres burned in this location. That is equal to about 353. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,12,,,In 1910 954 acres burned in this location. That is equal to about 867. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,13,,,In 1910 29 acres burned in this location. That is equal to about 26.3 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,14,,,In 1910 322 acres burned in this location. That is equal to about 292. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,15,,,In 1910 71 acres burned in this location. That is equal to about 64.5 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,16,,,In 1910 42 acres burned in this location. That is equal to about 38.1 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,17,,,In 1910 119 acres burned in this location. That is equal to about 108. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,18,,,In 1910 100 acres burned in this location. That is equal to about 90.9 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,19,,,In 1910 120 acres burned in this location. That is equal to about 109. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,20,,,In 1910 75 acres burned in this location. That is equal to about 68.1 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,21,,,In 1910 1471 acres burned in this location. That is equal to about 1337 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,22,,,In 1910 33 acres burned in this location. That is equal to about 30 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,23,,,In 1910 200 acres burned in this location. That is equal to about 181. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,24,,,In 1910 994 acres burned in this location. That is equal to about 903. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,25,,,In 1910 21 acres burned in this location. That is equal to about 19.0 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,26,,,In 1910 32 acres burned in this location. That is equal to about 29.0 footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,27,,,In 1910 164 acres burned in this location. That is equal to about 149. footbal fields.,,,
Past Events,Historic Events,Fire_Hist_Bound,Historic Fires,28,,,In 1910 29 acres burned in this location. That is equal to about 26.3 footbal fields.,,,
